cdf,q_bins
0.0,0.0
0.0,0.0
0.0,0.002
0.0,0.004
0.0,0.006
0.0,0.008
0.0,0.01
0.0,0.012
0.0,0.014
0.0,0.016
0.0,0.018000000000000002
0.0,0.02
0.0,0.022
0.0,0.024
0.0,0.026000000000000002
0.0,0.028
0.0,0.03
0.0,0.032
0.0,0.034
0.0,0.036000000000000004
0.0,0.038
0.0,0.04
0.0,0.042
0.0,0.044
0.0,0.046
0.0,0.048
0.0,0.05
0.0,0.052000000000000005
0.0,0.054
0.0,0.056
0.0,0.058
0.0,0.06
0.0,0.062
0.0,0.064
0.0,0.066
0.0,0.068
0.0,0.07
0.0,0.07200000000000001
0.0,0.074
0.0,0.076
0.0,0.078
0.0,0.08
0.0,0.082
0.0,0.084
0.0,0.08600000000000001
0.0,0.088
0.0,0.09
0.0,0.092
0.0,0.094
0.0,0.096
0.0,0.098
0.0016459574144197275,0.1
0.003310943238254712,0.10200000000000001
0.0049854432667973255,0.10400000000000001
0.006686107358285917,0.106
0.008358228835651623,0.108
0.010203984548931547,0.11
0.011959355317489003,0.112
0.013698076227808107,0.114
0.015498639468726799,0.116
0.01714221833196962,0.11800000000000001
0.018795311399920068,0.12
0.020405590546686187,0.122
0.022087226228759523,0.124
0.023678476966110387,0.126
0.02542433352996021,0.128
0.027258196487355602,0.13
0.02894696782295966,0.132
0.030478754780887844,0.134
0.03218417597473025,0.136
0.03374926264913514,0.138
0.035575989952999806,0.14
0.037348010579795615,0.14200000000000002
0.03907721728540709,0.14400000000000002
0.04088967328221032,0.146
0.042578444617814376,0.148
0.04423153768576483,0.15
0.04586322379312311,0.152
0.047525831065781184,0.154
0.049233630810800504,0.156
0.050874831122866414,0.158
0.05266112305672366,0.16
0.05428091640819741,0.162
0.05595065933438621,0.164
0.057651323425874805,0.166
0.05947329362738566,0.168
0.061204878884174044,0.17
0.062896028770955,0.17200000000000001
0.06465377809068937,0.17400000000000002
0.06640439175689301,0.176
0.06803369931307439,0.178
0.06962970715277907,0.18
0.07142313474016704,0.182
0.07327126900462387,0.184
0.07507658934789638,0.186
0.0767891461952695,0.188
0.07853738131029622,0.19
0.0800953323311704,0.192
0.08193870949327342,0.194
0.08375354404125356,0.196
0.08546134378627288,0.198
0.08717627918482292,0.2
0.08891024299278821,0.202
0.09053717199779268,0.20400000000000001
0.09240433467166477,0.20600000000000002
0.09414305558198387,0.20800000000000002
